Frame,PWM,Meta,Sector,Tiempo,Dif tiempo,Pos front X,Pos front Y,Dist puntos,Derrapo,Dist derrape,Pos back X,Pos back Y,Pos Extr X,Pos Extr Y
213,58,0,0,1692011756765.995,32.213134765625,388.0,290.5,10.0,0,2.0453014248643515,418.0,293.0,387.5,290.5
214,58,0,0,1692011756796.752,30.7568359375,378.0,290.5,10.0,0,1.0,408.0,291.5,378.0,290.5
215,58,0,0,1692011756831.194,34.442138671875,366.0,290.5,12.0,0,0.5,398.0,291.0,368.0,290.5
216,58,0,0,1692011756864.778,33.583984375,356.0,291.0,10.012,0,0.0,386.0,290.5,354.0,290.5
217,58,0,0,1692011756903.195,38.4169921875,343.0,291.0,13.0,0,0.0,374.5,290.5,346.0,291.5
218,58,0,0,1692011756934.301,31.10595703125,334.0,291.0,9.0,0,0.09987523388781001,364.0,290.5,330.0,291.0
219,58,0,0,1692011756966.53,32.22900390625,320.5,291.0,13.5,0,0.5,352.5,290.5,325.0,291.0
220,58,0,0,1692011756996.259,29.72900390625,311.0,291.0,9.5,0,0.5,341.0,290.5,307.0,291.0
221,58,0,0,1692011757031.841,35.58203125,296.5,291.0,14.5,0,0.5,329.5,290.5,301.5,291.0
222,58,0,0,1692011757064.141,32.300048828125,286.0,291.5,10.512,0,0.0,318.0,291.0,282.0,291.0
223,58,0,0,1692011757102.408,38.266845703125,274.0,291.5,12.0,0,0.5,304.5,291.5,275.5,292.0
224,58,0,0,1692011757133.011,30.60302734375,262.0,292.0,12.01,0,0.2853908964926775,292.0,291.5,262.0,291.5
225,58,0,0,1692011757167.007,33.99609375,249.0,292.0,13.0,0,0.0,279.5,291.5,250.0,292.5
226,58,0,0,1692011757195.523,28.515869140625,236.0,292.0,13.0,0,0.2914138129852622,267.0,291.5,236.0,292.0
227,58,0,0,1692011757228.899,33.3759765625,224.0,292.0,12.0,0,0.5,255.0,291.5,223.0,292.0
228,58,0,0,1692011757260.242,31.343017578125,211.0,292.5,13.01,0,0.5,242.5,291.5,212.0,292.0
229,58,0,0,1692011757297.054,36.81201171875,198.0,292.5,13.0,0,0.5,230.0,291.5,198.0,293.0
230,58,0,0,1692011757328.859,31.804931640625,185.5,293.0,12.51,0,0.23059873260724822,217.0,292.5,185.0,292.5
231,58,0,0,1692011757361.289,32.43017578125,172.0,293.0,13.5,0,0.0,202.5,292.5,173.0,293.5
232,58,0,0,1692011757396.701,35.411865234375,158.5,293.0,13.5,0,0.29976028761655843,190.5,292.5,158.5,293.0
233,58,0,0,1692011757429.119,32.41796875,146.0,293.0,12.5,0,0.5,177.0,292.5,145.0,293.0
234,58,0,4,1692011757460.77,31.651123046875,132.0,293.0,14.0,0,0.5,164.0,292.5,133.5,293.0
235,58,0,0,1692011757497.26,36.489990234375,120.0,292.5,12.01,0,0.5,151.0,293.5,118.0,293.0
236,58,0,0,1692011757528.348,31.087890625,106.5,289.5,13.829,0,0.5,137.5,293.5,108.0,292.0
237,58,0,0,1692011757561.078,32.72998046875,95.0,285.5,12.176,0,0.790980349531421,125.0,293.5,93.0,286.5
238,58,0,0,1692011757596.64,35.56201171875,85.0,280.0,11.413,0,1.5185132047306087,113.0,292.5,83.5,281.5
239,58,0,0,1692011757629.222,32.58203125,75.0,273.5,11.927,0,2.7513602338831733,101.0,290.5,75.0,274.5
240,58,0,0,1692011757659.865,30.64306640625,65.5,266.5,11.8,0,3.767728407309559,89.0,286.5,65.0,267.0
241,58,0,0,1692011757696.981,37.115966796875,59.0,258.5,10.308,0,5.785260952474387,79.0,283.0,56.0,259.5
242,58,0,0,1692011757732.993,36.011962890625,52.0,250.5,10.63,0,6.270961259384114,68.5,276.5,52.5,250.5
