Frame,PWM,Meta,Tiempo vuelta,Sector,Tiempo,Dif tiempo,Pos front X,Pos front Y,Dist puntos,Derrapo,Dist derrape,Pos back X,Pos back Y
169,50,0,,0,1693663046635.87,32.881103515625,118.0,242.0,9.179,0,0.16128099917114647,94.0,221.5
170,50,0,,0,1693663046667.781,31.910888671875,124.0,245.5,6.946,0,0.09214426752509966,99.0,227.5
171,50,0,,0,1693663046699.546,31.764892578125,131.0,248.0,7.433,0,0.9548151257129434,104.0,234.0
172,50,0,,0,1693663046735.013,35.467041015625,138.0,250.5,7.433,0,0.3813142974919988,111.0,238.5
173,50,0,,0,1693663046767.686,32.673095703125,146.0,251.5,8.062,0,1.3618367767570982,117.0,243.0
174,50,0,,0,1693663046803.752,36.06591796875,153.5,251.5,7.5,0,0.47087095579742255,124.0,246.0
175,50,0,,0,1693663046832.136,28.384033203125,160.0,251.0,6.519,0,1.7489492643904219,130.0,249.5
176,50,0,,0,1693663046867.74,35.60400390625,167.0,250.0,7.071,0,1.2780783085929994,137.0,251.5
177,50,0,,0,1693663046901.536,33.7958984375,173.0,248.0,6.325,0,1.240347345892081,144.0,252.5
178,50,0,,0,1693663046934.297,32.76123046875,179.0,246.0,6.325,0,1.0,151.0,252.5
179,50,0,,0,1693663046966.139,31.841796875,185.0,243.0,6.708,0,1.3038404810405406,157.5,252.5
180,50,0,,1,1693663047002.491,36.35205078125,189.0,240.0,5.0,0,1.4849242404917498,163.5,252.0
181,50,0,,0,1693663047032.237,29.74609375,195.0,236.5,6.946,0,1.8973665961010366,170.0,251.0
182,50,0,,0,1693663047068.262,36.02490234375,201.0,233.0,6.946,0,1.5811388300841898,175.0,249.0
183,50,0,,0,1693663047103.885,35.623046875,206.0,229.5,6.103,0,1.3416407864998612,182.0,246.0
184,50,0,,0,1693663047135.577,31.69189453125,211.0,226.0,6.103,0,0.5000000000000113,186.5,242.5
185,50,0,,0,1693663047166.061,30.484130859375,218.0,222.5,7.826,0,0.6478341756738168,192.0,239.0
186,50,0,,0,1693663047203.299,37.238037109375,224.0,219.0,6.946,0,0.21594472522460223,198.0,235.0
187,50,0,,0,1693663047235.432,32.1328125,230.0,215.0,7.211,0,1.4746174569342658,205.0,232.0
188,50,0,,0,1693663047268.14,32.7080078125,237.0,212.0,7.616,0,1.2288478807785466,211.0,227.5
189,50,0,,0,1693663047299.416,31.276123046875,244.0,208.0,8.062,0,0.8944271909999286,218.0,223.5
190,50,0,,0,1693663047331.137,31.720947265625,250.0,204.0,7.211,0,0.8637789008984293,224.0,220.0
191,50,0,,0,1693663047363.178,32.041015625,257.0,200.0,8.062,0,0.3939192985791677,231.0,215.0
192,50,0,,0,1693663047399.488,36.31005859375,264.0,195.5,8.322,0,0.49613893835684436,238.0,212.0
193,50,,,,,,,,,,,,
194,50,,,,,,,,,,,,
195,50,,,,,,,,,,,,
196,50,,,,,,,,,,,,
197,50,,,,,,,,,,,,
198,50,,,,,,,,,,,,
199,50,,,,,,,,,,,,
200,50,,,,,,,,,,,,
201,50,0,,0,1693663047703.75,304.261962890625,333.0,153.5,80.777,,,,
202,50,0,,0,1693663047733.792,30.0419921875,341.0,148.5,9.434,,,,
203,50,0,,0,1693663047765.164,31.3720703125,349.0,143.0,9.708,,,,
204,50,0,,0,1693663047801.125,35.9609375,358.0,138.0,10.296,0,0.1856953381770698,331.0,154.5
205,50,0,,0,1693663047833.964,32.839111328125,368.0,132.5,11.413,,,,
206,50,0,,0,1693663047863.768,29.803955078125,377.0,127.5,10.296,0,0.6695340634119803,348.0,144.5
207,50,0,,0,1693663047899.906,36.137939453125,387.0,121.5,11.662,,,,
208,50,0,,0,1693663047935.289,35.383056640625,397.0,116.5,11.18,0,0.08762159086764477,366.0,133.5
209,50,0,,0,1693663047967.752,32.462890625,407.0,110.5,11.662,0,0.8741572761215295,377.0,128.5
210,50,0,,0,1693663048003.571,35.819091796875,417.0,105.0,11.413,0,0.8574929257125418,387.0,122.5
211,52,1,6.175344482421875,0,1693663048035.376,31.804931640625,427.0,99.0,11.662,0,0.4472135954999579,396.0,116.5
212,52,0,,2,1693663048069.681,34.304931640625,438.0,91.5,13.314,0,0.08574929257126661,406.0,111.0
